Book_name,Book_price,Book_postage
ROGER ZELAZNY The Courts of Chaos 1st Edition Hardcover 1978 Vtg ROGER ZELAZNY,£87.69,£16.88
A. C. H. Smith THE DARK CRYSTAL 1st Edition Vtg The Dark Crystal 1982 Movie Book,£82.06,£16.88
"Being A Green Mother, For Love of Evil,  And Eternity, by Piers Anthony",£10.00,£17.00
"Dying Inside, by Robert Silverberg - paperback, Sidgwick & Jackson/NEL, 1975",£5.00,£7.50
"Lies Of Locke Lamora by Lynch, Scott Book The Cheap Fast Free Post",£3.99,£8.00
John Christopher WILD JACK hardcover + dj FIRST EDITION 1974 UK - Tripods author,£16.00,£11.38
Vintage Star Trek Paperback Books Voyager Badlands 1999 2002 Some 1st Editions,£19.99,£15.00
Hook: The Boosted Man (No 2) - Tully Zetford  PB New English Library NEL (1974) ,£7.99,£6.00
STEVEN SPIELBERG Close Encounters Movie Book FOTONOVEL Book Vintage Sphere Book,£12.53,£16.88
David Whitaker DOCTOR WHO AND THE DALEKS 1973 Vintage Doctor Who Target Book,£8.77,£16.88
"Warhammer 40,000: Sabbat War Anthology edited by Dan Abnett (Hardback Book)",£56.38,£39.10
"The Goblin Reservation, by Clifford D. Simak - Methuen Paperbacks, 1987",£4.00,£7.50
Stingray Annual 1993 Hardback - 62 Action Packed Pages ,£12.99,£8.30
Star Wars: The Jedi Path Vault Edition. A Manual for Students of the Force VGC,£107.09,£57.19
Doctor Who Evil Of The Daleks Virgin Books John Peel Second Doctor Jamie PB,£69.99,£11.00
"Rendezvous With Rama, by Arthur C. Clarke - paperback, Pan Books, 1974 reprint",£5.00,£7.50
Signed Book - Swarm Rising: Book 1 by Tim Peake and Steve Cole,£8.99,£17.99
"Caviar, Theodore Sturgeon - paperback, Sphere Books, 1974",£6.00,£7.50
"Supernatural Stories for Boys, etc.,Pope, Henry, Good Condition, ISBN 0601070739",£4.00,£9.62
Operation Chaos 1978 Poul Anderson Rare 70s Vintage Sci-Fi Paperback Magic World,£28.19,£28.19
BUCK ROGERS AND THE CHILDREN OF HOPETOWN Little Golden Book 1979 ROBOT Space 70s,£9.96,£16.88
FRANK HERBET Dune 1987 Vtg Frank Herbert Paperback Vtg ACE Edition Vtg Dune Book,£68.90,£16.88
THE COLOUR OF MAGIC - 1st US Edition St Martin's Press 1983 Pratchett EX-LIBRIS,£200.00,£22.45
Michael Coney - Cat Karina - 1982 ACE- Vintage paperback,£6.00,£4.00
"Warhammer 40,000: Cult of the Warmason by C L Werner (Hardback/Hardcover Book)",£50.74,£39.10
"Natives of Space, Hal Clement - vintage SF, Ballantine, 1970, Dean Ellis cover",£4.50,£7.50
The Black Cloud,£4.99,£17.00
"Sea Monster! (Kingdom of Wrenly), Quinn, Jordan, Good Condition, ISBN 148140072X",£2.83,£0.90
Time and Again by Clifford D. Simak 1967 UK Penguin PB 1st Vintage Sci-fi - VGC,£16.99,£8.00
Dune by Frank Herbert Book The Cheap Fast Free Post,£25.99,£8.00
Paratime - H. Beam Piper paperback Ace Science Fiction 1981 first printing,£7.99,£11.00
FRANK HERBERT Heretics of Dune 1984 1st Edition Paperback Vtg FRANK HERBERT Dune,£93.96,£16.88
J.K. ROWLING Harry Potter and the Order of the Phoenix J.K. ROWLING 1st Edition ,£250.56,£28.16
BRUCE STERLING Mirrorshades Book 1988 Vtg CYBERPUNK Book Vtg BRUCE STERLING Book,£106.48,£16.88
John Wyndham - The Day Of The Triffids - Penguin,£11.25,£19.73
War Games by David Bischoff. 1983 Puffin 1st Edition Paperback.,£5.49,£6.80
"Star Wars: Han Solo's Revenge by Brian Daley, HARDCOVER, Book Club Edition, 1979",£22.55,£20.75
"Fellowship of the Ring,Tolkien  J  R  R",£3.09,£4.99
Way Station by Clifford D. Simak 1976 UK Magnum PB - Vintage Sci-fi - VGC,£7.99,£8.00
Harlan Ellison From the Land of Fear/Beast Shouted Love Heart World/ Wonderland,£33.54,£20.75
"The Astounding-Analog Reader 1 & 2, ed. Harrison & Aldiss - Sphere Books, 1973",£10.00,£14.50
21 Sci-fi Masterworks & 1 Fantasy Masterworks Very Good  See Listing for Titles,£80.00,£25.00
SOLD OUT HAND SIGNED JOHN SCALZI THE KAIJU PRESERVATION SOCIETY GOLDSBORO BOOKS ,£74.95,£23.00
"Equator, Brian Aldiss - vintage SF, NEL, 1977 reprint, Bruce Pennington cover",£2.50,£7.50
Robert Silverberg - Vornan-19 (aka The Masks of Time) P/B Tandem 1970,£2.55,£8.00
Pseudo-People: Androids in Science Fiction edited by William F Nolan PB 1967 ,£9.99,£11.00
Arthur C. Clarke THE CITY AND THE STARS Book 1979 Vtg Arthur C. Clarke Book,£21.92,£16.88
Doctor Who Sting of the Zygons Stephen Cole 2007 Hardcover Science Fiction Rare,£28.19,£28.19
Michael Moorcock THE LAND LEVIATHAN 1976 vtg Michael Moorcock STEAMPUNK Book,£14.40,£16.88
PHYLLIS GOTLIEB Sunburst Vtg HORROR Vtg DEMON Book Vtg Occult Demonic Children,£68.90,£16.88
Huron Blackheart: Master of the Maelstrom by Mike Brooks,£13.38,£17.99
"Tangled Up in Blue, by Joan D Vinge (Snow Queen 4) - paperback, Tor Books, 2001",£6.00,£7.50
"The Two of Them, by Joanna Russ - SF paperback, The Women's Press, 1986",£5.00,£7.50
"Deathlands: Freedom Lost, by James Axler - paperback, Gold Eagle, 1998",£7.00,£9.00
Master of Space and Time by Rudy Rucker 1985 US Baen PB 1st - Vintage SF - VGC,£8.99,£8.00
"MICHAEL SWANWICK 3x SF Novels ""IN THE DRIFT""/""VACUUM FLOWERS/""JACK FAUST"" V.Good",£9.98,£12.99
MARION ZIMMER BRADLEY Star of Danger 1978 Vtg MARION ZIMMER BRADLEY Arrow Books,£20.04,£16.88
THEODORE STURGEON Vtg Arthur C Clarke Vtg J. G. Ballard Poul Anderson 70s Sci Fi,£50.11,£16.88
"My Name is Legion, by Roger Zelazny - paperback, Sphere Books, 1987",£6.00,£7.50
Pre Code Classics Witchcraft HC,£19.99,£10.00
"Monument, by Lloyd Biggle Jr - New English Library, 1976, Tim White cover art",£4.00,£7.50
Star Wars: Clone Wars Gambit Stealth Hardcover by Karen Miller DAMAGED,£78.93,£30.08
"The Circus Infinite, Khan Wong, Good Condition, ISBN 0857669680",£7.10,£8.00
"Tales From The Planet Earth, edited by Frederik Pohl & EA Hull - anthology 1987",£5.00,£10.00
"White Light, by Rudy Rucker - SF paperback, Ace Books, 1980",£5.00,£7.50
"Harpist in the Wind (Orbit Books),Patricia A. McKillip",£2.66,£4.99
MARION ZIMMER BRADLEY Star of Danger 1978 Vtg MARION ZIMMER BRADLEY Arrow Books,£20.04,£16.88
THEODORE STURGEON Vtg Arthur C Clarke Vtg J. G. Ballard Poul Anderson 70s Sci Fi,£50.11,£16.88
Brad Barbara Strickland NOVA COMMAND Star Trek Next Generation Starfleet Academy,£14.40,£16.88
James Blish A CASE OF CONSCIENCE After Such Knowledge 4 Vintage James Blish Book,£10.64,£16.88
Inferno - Larry Niven &  Jerry Pournelle PB Pocket Books 1977 science fiction,£5.99,£11.00
Expert Dreamers: Science Fiction Stories by Scientists ed. Frederick Pohl 1966 ,£5.99,£11.00
Pierce Brown Red Rising Book The Cheap Fast Free Post,£12.99,£8.00
"A Dream of Kinship (Corlay sequel), by Richard Cowper - Pocket Books, US, 1981",£4.00,£7.50
"Implosion, by D F Jones - paperback, Panther Books, 1969",£4.00,£7.50
Swarm Rising by Tim Peake,£7.46,£17.99
The PRISONER : A Day in the Life by Hank Stine : 1981 TV Novelization Tie In NEL,£6.77,£9.98
Home Is The Hunter - Star Trek Paperback - Titan Books - ISBN 185286317X,£1.20,£13.50
The Tears Of The Singers - Star Trek Paperback - Titan Books - ISBN 1852863145,£1.20,£13.50
BRENDA CLOUGH How Like a God Book 1988 Vtg Telepathy Vtg BRENDA CLOUGH Sci Fi,£50.11,£16.88
RAY BRADBURY Farenheit 451 2008 Vtg Sci Fi Book Vtg SF Novel Dystopian Novel,£31.32,£16.88
GREG BEAR Blood Music Vtg GREG BEAR 1988 Vtg Horror Recommended Poul Anderson ,£50.11,£16.88
Judith Merril (ed) - The Best of Science Fiction 10 -  1970 vintage paperback,£6.20,£6.20
The Three Stigmata of Palmer Eldritch by Philip K Dick 1973 UK Penguin PB 1st VG,£49.99,£18.00
"Colsec Rebellion Puffin Story Books by Douglas, Hill 0140317694 ",£7.30,£7.33
Chris Wraight SIEGE OF TERRA: WARHAWK Limited Edition MINT Warhammer 40K SIGNED,£135.00,£25.65
STAR TREK THE ROBOT MASTERS VINTAGE COMIC BOOK AND RECORD 1979   ,£9.99,£11.95
"King Kobold, by Christopher Stasheff - paperback, Granada, 1982 reprint",£4.00,£7.50
"Islands in the Sky, by Arthur C. Clarke - paperback, Puffin Books, 1980 reprint",£4.00,£7.50
"THE LOST WORLD.,Sir Arthur Conan. Doyle",£1.90,£4.99
"Bio of a Space Tyrant vols 1-3: Refugee, Mercenary, Politician, by Piers Anthony",£8.00,£17.50
STAR TREK VINTAGE DINOSAUR PLANET COMIC BOOK AND RECORD 1979   ,£9.99,£11.95
Judge Dredd x  novels 1-7 Dave Stone David Bishop John Grant Stephen Marley PBs ,£39.99,£35.00
Norman Spinrad - The Solarians - vintage paperback (1969),£5.20,£3.00
SHERRI TEPPER Flight of Mavin Manyshaped 1985 Vtg SHERRI 2 TEPPER Vtg Angel Book,£50.11,£16.88
TERRY NATION Rebecca's World author The Daleks Vintage Sci Fi Vtg Beaver Book,£181.66,£16.88
ZOA SHERBURNE The Girl Who Knew Tomorrow 70s Vtg ZOA SHERBURNE Vtg CLAIRVOYANT ,£54.49,£16.88
Harry Harrison ON THE PLANET OF ZOMBIE VAMPIRES Bill Galactic Hero 4 Vintage,£10.60,£16.88
JOE HALDEMAN 3x SF PBs 2-New/1-Accpt THE FOREVER WAR/FOREVER FREE/FOREVER PEACE,£10.98,£12.99
George H Smith - The Four Day Weekend  PB Priory Books (undated) ,£5.99,£6.00
MICHAEL MOORCOCK 3x Vintage SF Paperbacks OSWALD BASTABLE TRILOGY 1974/'75/'81,£7.98,£6.99
Blade Runner by Philip K Dick 1997 UK CGW Movie Edition PB 1st - Vintage - VGC,£19.99,£8.00
"Nighty Night (Care Bears), Lee, Quinlan B., Good Condition, ISBN 0439624959",£3.11,£2.27
TOTAL RECALL by Piers ANTHONY : 1990 Film Novelization : UK Legend Paperback ,£6.77,£9.98
WARREN HAMMOND Ex Kop Book Sci Fi Thriller Book Serial Killer Book Police Book,£20.04,£16.88
MICHAEL MOORCOCK Elric At The End of Time 1985 Vtg MICHAEL MOORCOCK Vtg Panther,£31.32,£16.88
"Warhammer 40,000: Double Eagle by Dan Abnett (Special/Limited Edition) - SIGNED",£98.66,£39.10
"Not Before Time, by John Brunner - paperback, NEL, 1975, Ray Feibush cover art",£4.00,£7.50
Time Snake and Superclown by Vincent King 0860078906 vintage Sci-fi rare,£10.15,£38.45
"(Good)-Red Dreams (Paperback)-ETCHISON, DENNIS.-0708837255",£4.26,£1.30
"Jandar of Callisto, by Lin Carter - Orbit Books, 1974, Bruce Pennington cover",£6.00,£7.50
 3 X DOCTOR WHO PAPERBACK BOOKS ONLY HUMAN WINNER TAKES ALL & STONE ROSE 2005/6,£7.99,£10.80
The Golden Compass: 1 (His Dark Materials) by  Philip Pullman paperback ,£8.96,£7.33
Deathwatch by D. G. Compton 1981 UK Magnum PB - Vintage - VGC,£8.99,£8.00
"The Ebb Tide by James P. Blaylock (Hardback, 2009 SIGNED Deluxe 1st Print) Fine",£39.99,£24.99
OLAF STAPLEDON Last Men in London Book 1978 Vtg OLAF STAPLEDON Vtg Sci Fi 70s,£50.11,£16.88
OLAF STAPLEDON Last and First Men 1978 Vtg OLAF STAPLEDON Vtg Skeleton SCI FI,£50.11,£16.88
PETER DAVID Babylon 5 Legions of Fire Book 1 The Long Night of Centauri Prime,£87.69,£16.88
"The Girl and the Mountain by Mark Lawrence (Hardcover, 2021) - Signed",£28.19,£19.73
ISBN 9781849165082: The Demi Monde (Fall) by Rod Rees - signed and dated,£40.00,£15.00
"THE INCREDIBLE HULK Annual 1979, with Lou Ferrigno Autograph",£149.95,£16.85
I've Met Some Bloody Wags (1981) Vintage Graphic Book Novel - Australian Humor,£10.15,£19.62
ROGER ZELAZNY Lord of Light Vtg ROGER ZELAZNY Book Club Edition Hardcover 1967,£87.69,£16.88
OVER HERE HARV! And Other Stories Bruce Dawe 1983 Australian YA Fiction RARE Pb,£22.49,£16.88
"Khârn: The Red Path (The Red Path 1-8) (Paperback, 2018) Very Good",£44.99,£14.99
"The Ringworld Engineers + The Ringworld Throne, by Larry Niven - Orbit Books",£6.00,£14.50
"Survival Instinct (Necromunda) by Andy Chambers, Paperback, Pre-owned.",£28.19,£17.93
15 Piers Anthony Science Fiction books | 4x Vintage Sci-Fi Pulpfiction Series,£60.89,£57.36
Frank Lauria BARON ORGAZ Vtg Frank Lauria 1st Edition 1974 Vtg Occult Horror,£43.84,£16.88
STANTON A. COBLENTZ The Moon People Vtg STANTON A COBLENTZ Vtg Sci Fi Naked Lady,£20.04,£16.88
FRANK HERBERT DUNE 1987 Vtg FRANK HERBERT Book Vtg Dune Book Vtg Sci Fi Book,£68.90,£16.88
"10 Doctor Who Novels - Target Books 1980's ""Classic Stories""",£45.07,£19.70
William F. Nolan LOGAN'S RUN LOGAN 1 1976 Movie Tie In Media Tie In MOVIE Book,£43.84,£16.88
The Fifth Horseman by Walter Harris 1st British Vintage Panther 1976 Paperback.,£5.99,£5.85
Mockingbird by Walter Tevis 1981 Hardback Dust Jacket Readers Union VERY RARE,£19.17,£19.62
Warhawk By Chris Wraight Siege Of Terra Black Library Limited Edition,£165.00,£25.00
"Harpist in the Wind (Orbit Books),Patricia A. McKillip",£2.66,£4.99
Lot of 19x Animorphs Young Adult Science Fiction Books by K.A. Applegate!,£47.92,£76.36
The PRISONER : A Day in the Life by Hank Stine : 1981 TV Novelization Tie In NEL,£6.77,£9.98
"New Writings in SF-23, edited by Kenneth Bulmer - paperback, Corgi Books, 1975",£3.00,£7.50
Set of 3x Themis Files Science Fiction Books by Sylvain Neuvel! Waking Gods!,£25.37,£47.61
"Lot of 7x Ben Bova Science Fiction Books! Moonrise, Moonwar, Powersat & More!",£47.92,£57.19
S. D. PERRY Virus FIRST EDITION 1998 Virus Movie Virus Comic Movie Media Tie In,£92.08,£16.88
MARION ZIMMER BRADLEY Star of Danger 1978 Vtg MARION ZIMMER BRADLEY Arrow Books,£20.04,£16.88
Doctor Who: Verdigris by Paul Magrs  BOOK ,£8.99,£16.25
"Warhammer 40,000 - The Successors: A Space Marine Anthology (Hardback Book)",£62.01,£39.10
"They Walked Like Men, by Clifford Simak - vintage SF paperback, Pan X425, 1965",£5.00,£7.50
"The Grey Raider, Joh Flanagan (2015) Book Novel - Historical Nautical War Action",£9.02,£19.62
Jack Vance - Emphyrio,£150.00,£23.49
"Animorphs The Predator, K A Applegate (2011) Vintage Book Novel - Fantasy Series",£9.02,£19.62
"Star Wars: Dawn of the Jedi TPB 1-3  Force Storm, Prisoner Bogan, Force War",£169.13,£30.08
"Captain Underpants, Wedgie Woman, Perilous Poopy Pants (2001) x2 Book Novel Lot",£5.64,£19.62
KEN BULMER Stained Glass World 1976 Vtg KEN BULMER Vtg Sci Fi Book Vtg NEL Book,£20.04,£16.88
